4.3632	283.12
4.3635	286.10
4.3638	289.09
4.3641	292.08
4.3644	295.08
4.3647	298.07
4.365	301.07
4.3653	304.08
4.3656	307.09
4.3659	310.10
4.3662	313.11
4.3665	316.13
4.3668	319.15
4.3671	322.17
4.3674	325.20
4.3677	328.23
4.368	331.26
4.3683	334.29
4.3686	337.33
4.3689	340.37
4.3692	343.41
4.3695	346.46
4.3698	349.50
4.3701	352.55
4.3704	355.60
4.3707	358.66
4.371	361.71
4.3713	364.77
4.3716	367.83
4.3719	370.89
4.3722	373.95
4.3725	377.02
4.3728	380.08
4.3731	383.15
4.3734	386.22
4.3737	389.29
4.374	392.35
4.3743	395.42
4.3746	398.49
4.3749	401.56
4.3752	404.63
4.3755	407.70
4.3758	410.77
4.3761	413.84
4.3764	416.91
4.3767	419.97
4.377	423.04
4.3773	426.10
4.3776	429.17
4.3779	432.23
4.3782	435.29
4.3785	438.34
4.3788	441.40
4.3791	444.45
4.3794	447.50
4.3797	450.54
4.38	453.59
4.3803	456.62
4.3806	459.66
4.3809	462.69
4.3812	465.71
4.3815	468.73
4.3818	471.74
4.3821	474.75
4.3824	477.76
4.3827	480.75
4.383	483.74
4.3833	486.73
4.3836	489.70
4.3839	492.67
4.3842	495.63
4.3845	498.59
4.3848	501.53
4.3851	504.47
4.3854	507.39
4.3857	510.31
4.386	513.21
4.3863	516.11
4.3866	518.99
4.3869	521.87
4.3872	524.73
4.3875	527.58
4.3878	530.42
4.3881	533.24
4.3884	536.05
4.3887	538.85
4.389	541.63
4.3893	544.40
4.3896	547.15
4.3899	549.89
4.3902	552.61
4.3905	555.31
4.3908	558.00
4.3911	560.67
4.3914	563.32
4.3917	565.96
4.392	568.57
4.3923	571.17
4.3926	573.75
4.3929	576.30
4.3932	578.84
4.3935	581.35
4.3938	583.84
4.3941	586.31
4.3944	588.76
4.3947	591.18
4.395	593.58
4.3953	595.95
4.3956	598.30
4.3959	600.63
4.3962	602.93
4.3965	605.20
4.3968	607.45
4.3971	609.67
4.3974	611.86
4.3977	614.02
4.398	616.15
4.3983	618.26
4.3986	620.33
4.3989	622.37
4.3992	624.39
4.3995	626.37
4.3998	628.32
4.4001	630.23
4.4004	632.12
4.4007	633.97
4.401	635.79
4.4013	637.57
4.4016	639.32
4.4019	641.03
4.4022	642.71
4.4025	644.35
4.4028	645.95
4.4031	647.52
4.4034	649.05
4.4037	650.54
4.404	652.00
4.4043	653.41
4.4046	654.79
4.4049	656.13
4.4052	657.43
4.4055	658.68
4.4058	659.90
4.4061	661.08
4.4064	662.21
4.4067	663.31
4.407	664.36
4.4073	665.37
4.4076	666.33
4.4079	667.26
4.4082	668.14
4.4085	668.98
4.4088	669.77
4.4091	670.53
4.4094	671.23
4.4097	671.90
4.41	672.52
4.4103	673.09
4.4106	673.62
4.4109	674.11
4.4112	674.55
4.4115	674.94
4.4118	675.29
4.4121	675.60
4.4124	675.86
4.4127	676.07
4.413	676.24
4.4133	676.36
4.4136	676.44
4.4139	676.47
4.4142	676.46
4.4145	676.40
4.4148	676.30
4.4151	676.15
4.4154	675.96
4.4157	675.72
4.416	675.43
4.4163	675.11
4.4166	674.73
4.4169	674.32
4.4172	673.85
4.4175	673.35
4.4178	672.8 
4.4181	672.20
4.4184	671.56
4.4187	670.88
4.419	670.16
4.4193	669.39
4.4196	668.58
4.4199	667.73
4.4202	666.84
4.4205	665.90
4.4208	664.93
4.4211	663.91
4.4214	662.85
4.4217	661.76
4.422	660.62
4.4223	659.44
4.4226	658.23
